feature,mean_abs_shap
ca,1.0259557184201065
sex,0.7193852299245564
thal_7.0,0.6270092278962738
cp_4.0,0.5248295843465762
slope_2.0,0.4269741286296968
trestbps,0.2998601911297605
thalach,0.2861244402164405
exang,0.2441644832259041
cp_3.0,0.2347827545451426
slope_1.0,0.209519303849791
restecg_2.0,0.19388506720704782
chol,0.1621628090225293
oldpeak,0.142872190653992
cp_1.0,0.0990368435043066
age,0.07290951414118058
thal_3.0,0.0677997590231032
fbs,0.06007219821859281
cp_2.0,0.05602678196361949
restecg_0.0,0.0
restecg_1.0,0.0
slope_3.0,0.0
thal_6.0,0.0
